,X.,event,Theme,Account.Users,Metric.Count,Graph.Origin,Number.of.Graphs.on.Dashboard,number.of.graphs,time,Company.ID,Graphs.owned,weekday,X_city,Connector.Backend,Template,Data.Sources.Owned,Data.Format,Account.Type,dashboard.Template.Name,KPI.Count,Client,source,Graph.Origin,Guide.Name,Guide.Type,,,
1,1,View Dashboard,Dark,1,NA,,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
2,2,View Dashboard,Light,41,NA,,NA,0,8/1/2018 0:00,6c5941a5643cbcc803d42298adec6661,NA,Wednesday,Ottawa,,,0,,Partner,,NA,Phone App,0,,,,,,
3,3,Edit Graphs,,1,NA,Custom,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,Custom,,,,,
4,4,Graph Saved,,1,NA,Custom,NA,15,8/1/2018 0:00,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,,,,3,,Direct,,NA,,3,Custom,,,,,
5,5,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:00,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
6,6,Create Data Source,,1,NA,,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
7,7,Connector Search,,1,NA,,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
8,8,Data Source Connector,,1,NA,,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
9,9,DS Template Selected,,1,NA,,NA,47,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,Create a custom graph,NA,,24,,,,,,
10,10,Data Source Created,,1,NA,,NA,50,8/1/2018 0:00,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,,google,,26,xls,Direct,Create a custom graph,NA,,26,,,,,,
11,11,View Dashboard,Light,11,NA,,NA,0,8/1/2018 0:00,f9375b795735486891aae3367d0adc7b,NA,Wednesday,Salt Lake City,,,0,,Partner,,NA,Phone App,0,,,,,,
12,12,Change Tab,,11,NA,,NA,0,8/1/2018 0:00,f9375b795735486891aae3367d0adc7b,NA,Wednesday,Salt Lake City,,,0,,Partner,,NA,Phone App,0,,,,,,
13,13,Switch,,17,NA,,NA,0,8/1/2018 0:00,0350cd2785e3e1565e068c557ebb8f1a,NA,Wednesday,Bengaluru,,,0,,Direct,,NA,Phone App,0,,,,,,
14,14,Switch,,112,NA,,NA,0,8/1/2018 0:01,197c731783a51319754597fea6c43112,NA,Wednesday,Bangkok,,,0,,Direct,,NA,Phone App,0,,,,,,
15,15,Edit Graph from Dashboard,,1,NA,Custom,NA,8,8/1/2018 0:01,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,Custom,,,,,
16,16,Trial Sign Up Completed,,1,NA,,NA,8,8/1/2018 0:01,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,,,,,
17,17,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:01,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,Custom,,,,,
18,18,Guide Start,,1,NA,,NA,8,8/1/2018 0:01,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
19,19,Guide Exit,,1,NA,,NA,8,8/1/2018 0:01,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
20,20,Guide Start,,1,NA,,NA,8,8/1/2018 0:01,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,NavBar Intro Tour - Automatic,walkthrough,,,
21,21,Guide Start,,1,NA,,NA,8,8/1/2018 0:01,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,NavBar_Resumetour_Dashboard,tooltip,,,
22,22,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:01,296411f5ce302103d499ca4656fb8c71,NA,Wednesday,Ho Chi Minh City,,,2,,Direct,,NA,,2,,,,,,
23,23,View Dashboard,Light,32,NA,,NA,0,8/1/2018 0:01,2a3c721d40a0b403125991ca1cf77a28,NA,Wednesday,Peshawar,,,0,,Partner,,NA,Phone App,0,,,,,,
24,24,Switch,,17,NA,,NA,0,8/1/2018 0:01,0350cd2785e3e1565e068c557ebb8f1a,NA,Wednesday,Bengaluru,,,0,,Direct,,NA,Phone App,0,,,,,,
25,25,Edit Graphs,,1,NA,Custom,NA,47,8/1/2018 0:01,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,Custom,,,,,
26,26,Graph Saved,,1,NA,Custom,NA,15,8/1/2018 0:01,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,,,,3,,Direct,,NA,,3,Custom,,,,,
27,27,View Dashboard,Dark,1,NA,,NA,8,8/1/2018 0:02,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
28,28,View Dashboard,Dark,1,NA,,NA,47,8/1/2018 0:02,b8610d38ddca3692d34a55594e0b4df5,NA,Wednesday,Fargo,,,24,,Direct,,NA,,24,,,,,,
29,29,View Dashboard,Light,32,NA,,NA,0,8/1/2018 0:02,2a3c721d40a0b403125991ca1cf77a28,NA,Wednesday,Peshawar,,,0,,Partner,,NA,Phone App,0,,,,,,
30,30,View Dashboard,Light,2,NA,,NA,60,8/1/2018 0:02,ea0a1aa5119972fc3c8b79db33fcc37b,NA,Wednesday,Los Angeles,,,15,,Direct,,NA,Phone App,15,,,,,,
31,31,View Dashboard,Light,4,NA,,NA,121,8/1/2018 0:03,b9ad6d74631f80d4fc1384c0fcf5f115,NA,Wednesday,Porto Alegre,,,100,,Direct,,NA,Phone App,100,,,,,,
32,32,Create Data Source,,1,NA,,NA,8,8/1/2018 0:03,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,,,,2,,Direct,,NA,,2,,,,,,
33,33,Data Source Connector,,1,NA,,NA,8,8/1/2018 0:03,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,,,,,
34,34,Add Button,,1,NA,,NA,8,8/1/2018 0:03,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
35,35,Create New Graph,,1,NA,,NA,8,8/1/2018 0:04,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
36,36,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:04,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,Custom,,,,,
37,37,DS Template Selected,,1,NA,,NA,8,8/1/2018 0:04,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,LinkedIn Company Statistics,NA,,2,,,,,,
38,38,View Dashboard,Light,2,NA,,NA,18,8/1/2018 0:04,31706a205dcad526617c7247ea535d98,NA,Wednesday,Ho Chi Minh City,,,3,,Direct,,NA,,3,,,,,,
39,39,View Dashboard,Light,1,NA,,NA,23,8/1/2018 0:04,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,Ottawa,,,8,,Direct,,NA,,8,,,,,,
40,40,View Dashboard,Light,4,NA,,NA,0,8/1/2018 0:04,763bf501a2bf11277ac40a2b230f0c34,NA,Wednesday,Crows Nest,,,0,,Partner,,NA,Phone App,0,,,,,,
41,41,View Dashboard,Light,1,NA,,NA,23,8/1/2018 0:04,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,Ottawa,,,8,,Direct,,NA,,8,,,,,,
42,42,Edit Graph from Dashboard,,1,NA,Custom,NA,23,8/1/2018 0:04,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,Ottawa,,,8,,Direct,,NA,,8,Custom,,,,,
43,43,Edit Graphs,,1,NA,Custom,NA,23,8/1/2018 0:04,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,Ottawa,,,8,,Direct,,NA,,8,Custom,,,,,
44,44,Show More Graphs,,4,NA,,15,0,8/1/2018 0:04,763bf501a2bf11277ac40a2b230f0c34,NA,Wednesday,Crows Nest,,,0,,Partner,,NA,Phone App,0,,,,,,
45,45,Show More Graphs,,4,NA,,15,0,8/1/2018 0:04,763bf501a2bf11277ac40a2b230f0c34,NA,Wednesday,Crows Nest,,,0,,Partner,,NA,Phone App,0,,,,,,
46,46,View Dashboard,Dark,2,NA,,NA,21,8/1/2018 0:05,7d414a1fd535217b4c83ea005a5c686e,NA,Wednesday,Prague,,,39,,Direct,,NA,,39,,,,,,
47,47,Data Source Created,,1,NA,,NA,8,8/1/2018 0:05,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,,local file,,3,json,Direct,LinkedIn Company Statistics,NA,,3,,,,,,
48,48,View Dashboard,Light,181,NA,,NA,0,8/1/2018 0:05,4da83fc3e758478f4e0d92de1cd8da7e,NA,Wednesday,Tampa,,,0,,Direct,,NA,Phone App,0,,,,,,
49,49,Change Tab,,181,NA,,NA,0,8/1/2018 0:06,4da83fc3e758478f4e0d92de1cd8da7e,NA,Wednesday,Tampa,,,0,,Direct,,NA,Phone App,0,,,,,,
50,50,View Dashboard,Light,41,NA,,NA,0,8/1/2018 0:06,6c5941a5643cbcc803d42298adec6661,NA,Wednesday,,,,0,,Partner,,NA,Phone App,0,,,,,,
51,51,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:06,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,,,,,
52,52,Graph Saved,,1,NA,Template,NA,9,8/1/2018 0:06,1fb0c38e91eb39efd7740c35b063fcaa,NA,Wednesday,,,,4,,Direct,,NA,,4,Template,,,,,
53,53,Change Tab,,181,NA,,NA,0,8/1/2018 0:06,4da83fc3e758478f4e0d92de1cd8da7e,NA,Wednesday,Tampa,,,0,,Direct,,NA,Phone App,0,,,,,,
54,54,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:06,1fb0c38e91eb39efd7740c35b063fcaa,NA,Wednesday,Singapore,,,2,,Direct,,NA,,2,,,,,,
55,55,Add Blank Tab,,1,NA,,NA,8,8/1/2018 0:06,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,,,,,
56,56,Switch,,17,NA,,NA,0,8/1/2018 0:06,0350cd2785e3e1565e068c557ebb8f1a,NA,Wednesday,Bengaluru,,,0,,Direct,,NA,Phone App,0,,,,,,
57,57,Change Tab,,181,NA,,NA,0,8/1/2018 0:06,4da83fc3e758478f4e0d92de1cd8da7e,NA,Wednesday,Tampa,,,0,,Direct,,NA,Phone App,0,,,,,,
58,58,View Dashboard,Light,13,NA,,NA,0,8/1/2018 0:06,938922ddb1a818ff3b39b8178ba9a3a1,NA,Wednesday,Ho Chi Minh City,,,0,,Direct,,NA,Phone App,0,,,,,,
59,59,Graph Saved,,1,NA,Custom,NA,23,8/1/2018 0:06,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,,,,8,,Direct,,NA,,8,Custom,,,,,
60,60,View Dashboard,Light,1,NA,,NA,23,8/1/2018 0:06,405d25d7e476a63d4cfc49f1c7cb38f0,NA,Wednesday,Ottawa,,,8,,Direct,,NA,,8,,,,,,
61,61,Show More Graphs,,181,NA,,7,0,8/1/2018 0:06,4da83fc3e758478f4e0d92de1cd8da7e,NA,Wednesday,Tampa,,,0,,Direct,,NA,Phone App,0,,,,,,
62,62,View Dashboard,Light,1,NA,,NA,8,8/1/2018 0:06,933e7adea48e17154e5bab383c4de740,NA,Wednesday,Mexico City,,,2,,Direct,,NA,,2,,,,,,
63,63,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:07,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
64,64,Change Tab,,71,NA,,NA,7,8/1/2018 0:07,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
65,65,Build Graph from Template,,1,NA,,NA,8,8/1/2018 0:07,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,,,,3,,Direct,,NA,,3,,,,,,
66,66,View Dashboard,Light,3,NA,,NA,29,8/1/2018 0:07,d96cf694dc904841288eb48c58d05d72,NA,Wednesday,Auckland,,,14,,Direct,,NA,Phone App,14,,,,,,
67,67,Edit Graphs,,1,NA,Custom,NA,8,8/1/2018 0:07,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,Custom,,,,,
68,68,View Dashboard,Light,118,NA,,NA,0,8/1/2018 0:07,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
69,69,View Dashboard,Light,13,NA,,NA,0,8/1/2018 0:08,938922ddb1a818ff3b39b8178ba9a3a1,NA,Wednesday,Ho Chi Minh City,,,0,,Direct,,NA,Phone App,0,,,,,,
70,70,Guide Start,,1,NA,,NA,8,8/1/2018 0:08,3cdc5e38a59a03a8e1b03abfb748b59a,NA,Wednesday,Christchurch,,,2,,Direct,,NA,,2,,Editor_Resumetour,tooltip,,,
71,71,Add Existing Tab,,118,NA,,NA,0,8/1/2018 0:08,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
72,72,Add Button,,1,NA,,NA,8,8/1/2018 0:08,1fb0c38e91eb39efd7740c35b063fcaa,NA,Wednesday,Singapore,,,2,,Direct,,NA,,2,,,,,,
73,73,View Dashboard,Dark,NA,NA,,NA,NA,8/1/2018 0:08,02beb6333cf4c95ba91e1c9b0c0b4c18,NA,Wednesday,Franklin Park,,,NA,,,,NA,,NA,,,,,,
74,74,Show More Graphs,,13,NA,,6,0,8/1/2018 0:08,938922ddb1a818ff3b39b8178ba9a3a1,NA,Wednesday,Ho Chi Minh City,,,0,,Direct,,NA,Phone App,0,,,,,,
75,75,Create Data Source,,1,NA,,NA,8,8/1/2018 0:08,51b809b091fc0f51dc7aca9ddc486bfe,NA,Wednesday,Pittsfield,,,2,,Direct,,NA,,2,,,,,,
76,76,View Dashboard,Light,71,NA,,NA,7,8/1/2018 0:08,013e23de101611ec4ba9f65a089981aa,NA,Wednesday,Querétaro City,,,10,,Direct,,NA,Phone App,10,,,,,,
77,77,Show More Graphs,,118,NA,,8,0,8/1/2018 0:08,d3a3f99b312aecb7ea7fdb88817ddbc4,NA,Wednesday,Frisco,,,0,,Direct,,NA,Phone App,0,,,,,,
